Project Name,Package Name,Type Name,Method Name,Code Smell
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessNoReprocess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,copy,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Method
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job,FullConversionJobExecutorTest,doProcessReprocess,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSource,buildDataSource,Missing default
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobBucketDataSourceTest,beforeAll,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobBucketDataSourceTest,testBucket,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobBucketDataSourceTest,testBucket,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobBucketDataSourceTest,testBucket,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobBucketDataSourceTest,testBucket2,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,beforeAll,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testFindJobsQueryFails,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testFindJobsQueryFails,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testNoMatches,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testNoMatches,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testFindJobs,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.job.datasource,ConversionJobDataSourceTest,testFindJobs,Magic Number
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJob,getStatus,Complex Method
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJob,getStatus,Missing default
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJobBucket,getStatus,Empty catch clause
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJobNavItem,getIcon,Missing default
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJobNavItem,getStatusClass,Missing default
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJobBucketNavItem,getIcon,Missing default
aem-modernize-tools,com.adobe.aem.modernize.model,ConversionJobBucketNavItem,getStatusClass,Missing default
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImpl,apply,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporter,importStyle,Long Parameter List
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyTreeImporter,moveTo,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testShallowApply,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testShallowApply,Long Statement
aem-modernize-tools,com.adobe.aem.modernize.policy.impl,PolicyImportRuleServiceImplTest,testShallowApply,Magic Number
